case_id,merchant_id,amount,original_amount,currency,transaction_date,payment_method,reason_code,evidence_items,merchant_narrative
cb_0083,mch_013,14033.45,14033.45,INR,2026-07-01,upi,13.3,product_listing_match: Product listing screenshot matching the SKU shipped | communication_log: Support ticket thread with the customer discussing the item received | transaction_log_dedup: Ledger export confirming no duplicate authorization for this order ID,We don't have complete records for this one but are submitting what's available.
cb_0044,mch_015,8353.72,8353.72,INR,2026-06-28,upi,12.6.1,transaction_log_dedup: Ledger export confirming no duplicate authorization for this order ID,We're short on documentation for this case but wanted to respond regardless.
cb_0070,mch_020,3826.02,3826.02,INR,2026-02-01,upi,4855,proof_of_delivery: Signed delivery confirmation dated within the expected window | service_completion_record: Service completion log timestamped and matching the booking | device_fingerprint_or_ip_log: Device fingerprint log showing this device on 3 prior successful orders,We're short on documentation for this case but wanted to respond regardless.
cb_0120,mch_014,13846.6,13846.6,INR,2026-02-28,card,4863,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization | prior_purchase_history: Purchase history showing a consistent buying pattern on this account | product_listing_match: Order confirmation showing the exact item and specification ordered,Order went out on schedule per our fulfillment log for this period.
cb_0127,mch_019,2676.35,1993.05,INR,2026-07-20,upi,4837,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified,This customer has disputed before; we're submitting our side regardless.
cb_0133,mch_003,14327.2,14327.2,INR,2026-01-15,netbanking,4853,product_listing_match: Order confirmation showing the exact item and specification ordered | return_policy_ack: Order confirmation email including the stated return policy terms,The customer's order was handled per our standard process; details attached.
cb_0043,mch_008,13786.81,13786.81,INR,2026-02-26,upi,13.3,product_listing_match: Order confirmation showing the exact item and specification ordered | communication_log: Support ticket thread with the customer discussing the item received,This customer has disputed before; we're submitting our side regardless.
cb_0097,mch_007,13580.03,13580.03,INR,2026-03-26,upi,10.4,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified | device_fingerprint_or_ip_log: Device fingerprint log showing this device on 3 prior successful orders,We fulfilled this order as described and have the records to support it.
cb_0095,mch_008,14892.57,14892.57,INR,2026-07-22,upi,4837,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified,We don't have complete records for this one but are submitting what's available.
cb_0142,mch_011,11661.77,10901.39,INR,2026-06-08,upi,4855,proof_of_delivery: Signed delivery confirmation dated within the expected window | service_completion_record: Technician check-in/check-out record for the scheduled service | proof_of_delivery: Signed delivery confirmation dated within the expected window,We don't have complete records for this one but are submitting what's available.
cb_0099,mch_018,4077.46,4077.46,INR,2026-04-26,upi,13.3,product_listing_match: Product listing screenshot matching the SKU shipped,This customer has disputed before; we're submitting our side regardless.
cb_0014,mch_004,1906.25,1906.25,INR,2026-05-15,card,4855,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location | service_completion_record: Technician check-in/check-out record for the scheduled service,Order went out on schedule per our fulfillment log for this period.
cb_0081,mch_006,1670.18,1670.18,INR,2026-01-15,card,10.4,device_fingerprint_or_ip_log: IP geolocation log placing the order in the cardholder's registered city,We believe this chargeback was filed in error and are submitting what we have on file.
cb_0085,mch_015,8705.43,8705.43,INR,2026-07-14,card,4853,return_policy_ack: Checkout screenshot showing the customer accepted the return policy,This customer has disputed before; we're submitting our side regardless.
cb_0094,mch_019,7015.49,7015.49,INR,2026-04-28,upi,4855,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location,Our records show this transaction was processed normally; we're contesting.
cb_0031,mch_006,3569.78,3569.78,INR,2026-04-12,upi,4837,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified | cardholder_ip_device_match: Login history showing this device used the cardholder's account before,The customer's order was handled per our standard process; details attached.
cb_0045,mch_009,4943.75,4336.58,INR,2026-03-11,upi,4853,product_listing_match: Order confirmation showing the exact item and specification ordered | return_policy_ack: Order confirmation email including the stated return policy terms,Our records show this transaction was processed normally; we're contesting.
