merchant_id,chargeback_rate_30d,chargeback_rate_90d,total_transactions_30d,prior_contest_win_rate,history_flags
mch_001,1.89,1.89,2453,0.06,repeat_dispute_pattern
mch_002,1.22,1.22,1039,0.09,repeat_dispute_pattern
mch_003,1.95,1.95,912,0.32,repeat_dispute_pattern
mch_004,1.8,1.8,967,0.06,repeat_dispute_pattern
mch_005,0.16,0.16,417,0.68,none
mch_006,0.33,0.33,4664,0.77,none
mch_007,0.26,0.26,2478,0.65,none
mch_008,0.45,0.45,1507,0.45,none
mch_009,0.4,0.4,1473,0.6,none
mch_010,0.16,0.16,1037,0.79,none
mch_011,0.1,0.1,3017,0.49,none
mch_012,0.35,0.35,3963,0.81,none
mch_013,0.32,0.32,3300,0.89,none
mch_014,0.09,0.09,3162,0.58,none
mch_015,0.34,0.34,575,0.77,none
mch_016,0.38,0.38,853,0.8,none
mch_017,0.48,0.48,3313,0.84,none
mch_018,0.19,0.19,3188,0.74,none
mch_019,0.13,0.13,2387,0.61,none
mch_020,0.4,0.4,784,0.76,none
