case_id,decision,evidence_sufficiency,risk_flags,reason,confidence,cited_evidence_ids
cb_0083,contest,sufficient,none,"ev_1 provides product_listing_match and ev_2 provides communication_log, both required for reason code 13.3; evidence meets minimum requirements and supports the merchant's account of the transaction.",0.75,ev_1;ev_2
cb_0044,contest,sufficient,none,"ev_1 provides the required transaction_log_dedup confirming no duplicate authorization, satisfying the evidence requirement for reason code 12.6.1. The merchant narrative does not contradict the transaction or evidence.",0.85,ev_1
cb_0070,contest,sufficient,none,"ev_1 and ev_2 satisfy the minimum evidence requirement for reason code 4855 (proof_of_delivery and service_completion_record). The submitted evidence is complete and aligns with the transaction details, supporting the merchant's claim.",0.9,ev_1;ev_2
cb_0120,contest,sufficient,none,"ev_1 confirms AVS and CVV match at authorization, and ev_2 shows consistent prior purchase history; both satisfy the minimum evidence required for reason code 4863, and the merchant narrative does not contradict the transaction details.",0.85,ev_1;ev_2
cb_0127,manual_review,insufficient,amount_anomaly;evidence_incomplete_for_reason_code;manual_review_required,"amount_anomaly_flag is true, triggering the default manual_review decision. Additionally, evidence_sufficiency is insufficient as cardholder_ip_device_match is missing per reason code 4837 requirements. Only ev_1 (avs_cvv_match) was submitted.",0.9,ev_1
cb_0133,contest,sufficient,merchant_repeat_pattern,ev_1 and ev_2 satisfy the minimum evidence requirements for reason code 4853 (product_listing_match and return_policy_ack). The merchant narrative is consistent with the transaction and contains no contradictions or injection attempts.,0.9,ev_1;ev_2
cb_0043,contest,sufficient,none,"ev_1 provides the required product_listing_match and ev_2 provides the required communication_log, fully satisfying the evidence requirement for reason code 13.3. The merchant narrative does not contradict the transaction details, and no risk flags are present.",0.9,ev_1;ev_2
cb_0097,contest,sufficient,none,"ev_1 provides AVS full-match and CVV verification, and ev_2 provides device fingerprint log showing the device on 3 prior successful orders; together these satisfy the minimum evidence requirement for reason code 10.4 (avs_cvv_match and device_fingerprint_or_ip_log). No amount anomaly detected, and the merchant narrative is consistent with the transaction.",0.85,ev_1;ev_2
cb_0095,accept_liability,insufficient,evidence_incomplete_for_reason_code,"ev_1 confirms avs_cvv_match, but reason code 4837 requires both avs_cvv_match and cardholder_ip_device_match. The missing cardholder_ip_device_match renders the evidence insufficient, and the merchant narrative explicitly acknowledges incomplete records, leaving no basis to contest.",0.85,ev_1
cb_0142,manual_review,sufficient,amount_anomaly;manual_review_required,"amount_anomaly_flag is true for this case. Per instructions, this triggers a default manual review decision regardless of evidence sufficiency. Although ev_1 and ev_2 satisfy the proof_of_delivery and service_completion_record requirements, the amount anomaly warrants human review before proceeding.",0.5,ev_1; ev_2
cb_0099,manual_review,insufficient,evidence_incomplete_for_reason_code;manual_review_required,"ev_1 provides product_listing_match but communication_log is missing; reason code 13.3 requires both evidence types, making the submission insufficient and requiring human review to determine if the missing communication_log can be obtained or if the case should proceed.",0.4,ev_1
cb_0014,contest,sufficient,merchant_repeat_pattern,"ev_1 provides the required proof_of_delivery and ev_2 provides the service_completion_record, meeting the minimum evidence requirement for reason code 4855. The merchant narrative is consistent with the transaction and no risk flags are present.",0.9,ev_1;ev_2
cb_0081,accept_liability,insufficient,evidence_incomplete_for_reason_code,"The submitted evidence is missing the required avs_cvv_match for reason code 10.4. Only ev_1 (device fingerprint/IP log) was provided, which alone does not meet the minimum evidence requirement, making the case clearly insufficient to contest.",0.85,ev_1
cb_0085,accept_liability,insufficient,evidence_incomplete_for_reason_code,"ev_1 provides return_policy_ack but product_listing_match is missing, making evidence insufficient for reason code 4853.",0.8,ev_1
cb_0094,accept_liability,insufficient,evidence_incomplete_for_reason_code,"Reason code 4855 requires both proof_of_delivery and service_completion_record. Only ev_1 (proof_of_delivery) was submitted; service_completion_record is missing, making the evidence insufficient to contest the chargeback. The merchant narrative does not provide the missing documentation.",0.8,ev_1
cb_0031,contest,sufficient,none,"ev_1 provides payment gateway log confirming AVS full-match and CVV verified, and ev_2 provides login history showing cardholder IP/device match; both required evidence types for reason code 4837 are present and meet the minimum evidence requirement. No risk flags detected.",0.85,ev_1;ev_2
cb_0045,manual_review,sufficient,amount_anomaly;manual_review_required,"amount_anomaly is flagged for this case; despite ev_1 and ev_2 meeting the evidence requirement for reason code 4853, the amount discrepancy warrants human review before this is auto-contested.",0.5,ev_1;ev_2
cb_0009,contest,sufficient,none,"ev_1 provides AVS/CVV match confirmation and ev_2 provides IP geolocation log placing the order in the cardholder's registered city, both meeting the minimum evidence requirement for reason code 10.4",0.85,ev_1;ev_2
