case_id,ground_truth_decision,ground_truth_evidence_sufficiency
cb_0083,contest,sufficient
cb_0044,contest,sufficient
cb_0070,contest,sufficient
cb_0120,contest,sufficient
cb_0127,manual_review,insufficient
cb_0133,manual_review,sufficient
cb_0043,contest,sufficient
cb_0097,contest,sufficient
cb_0095,accept_liability,insufficient
cb_0142,manual_review,sufficient
cb_0099,accept_liability,insufficient
cb_0014,manual_review,sufficient
cb_0081,accept_liability,insufficient
cb_0085,accept_liability,insufficient
cb_0094,accept_liability,insufficient
cb_0031,contest,sufficient
cb_0045,manual_review,sufficient
cb_0009,contest,sufficient
cb_0101,accept_liability,insufficient
cb_0046,manual_review,sufficient
cb_0003,accept_liability,insufficient
cb_0096,manual_review,sufficient
cb_0033,accept_liability,insufficient
cb_0136,manual_review,insufficient
cb_0050,manual_review,insufficient
cb_0082,accept_liability,insufficient
cb_0131,contest,sufficient
cb_0121,manual_review,sufficient
cb_0100,manual_review,not_enough_information
cb_0006,manual_review,sufficient
cb_0145,manual_review,not_enough_information
cb_0130,contest,sufficient
cb_0018,contest,sufficient
cb_0093,accept_liability,insufficient
cb_0022,accept_liability,not_enough_information
cb_0048,accept_liability,insufficient
cb_0107,accept_liability,insufficient
cb_0144,accept_liability,insufficient
cb_0091,accept_liability,insufficient
cb_0001,contest,sufficient
cb_0110,manual_review,insufficient
cb_0075,contest,sufficient
cb_0037,contest,sufficient
cb_0062,accept_liability,insufficient
cb_0132,contest,sufficient
cb_0005,manual_review,sufficient
cb_0138,manual_review,sufficient
cb_0128,manual_review,insufficient
cb_0029,contest,sufficient
cb_0017,accept_liability,insufficient
